x,y,z
330,33,"431
"
331,33,"431
"
332,22,"431
"
333,37,"431
"
334,21,"431
"
335,1218,"432
"
336,33,"432
"
337,23,"432
"
338,30,"432
"
339,23,"432
"
340,36,"432
"
341,29,"432
"
342,23,"432
"
343,29,"432
"
344,671,"433
"
345,29,"433
"
346,28,"433
"
347,33,"433
"
348,34,"433
"
349,29,"433
"
350,32,"433
"
351,26,"433
"
352,28,"433
"
353,28,"433
"
354,788,"434
"
355,25,"434
"
356,33,"434
"
357,30,"434
"
358,27,"434
"
359,463,"434
"
360,29,"434
"
361,36,"434
"
362,23,"435
"
363,35,"435
"
364,25,"435
"
365,211,"435
"
366,26,"435
"
367,28,"435
"
368,23,"435
"
369,23,"435
"
370,170,"435
"
371,23,"435
"
372,26,"435
"
373,36,"435
"
374,29,"435
"
375,20,"435
"
376,134,"435
"
377,25,"435
"
378,30,"435
"
379,31,"435
"
380,31,"435
"
381,32,"435
"
382,170,"436
"
383,24,"436
"
384,33,"436
"
385,30,"436
"
386,30,"436
"
387,501,"436
"
388,26,"436
"
389,31,"436
"
390,28,"436
"
391,32,"436
"
392,2292,"439
"
393,28,"439
"
394,36,"439
"
395,32,"439
"
396,27,"439
"
397,30,"439
"
398,27,"439
"
399,721,"440
"
400,28,"440
"
401,24,"440
"
402,28,"440
"
403,23,"440
"
404,27,"440
"
405,25,"440
"
406,658,"440
"
407,29,"440
"
408,25,"440
"
409,34,"440
"
410,36,"441
"
411,30,"441
"
412,29,"441
"
413,32,"441
"
414,34,"441
"
415,28,"441
"
416,34,"441
"
417,36,"441
"
418,24,"441
"
419,34,"441
"
420,26,"441
"
421,24,"441
"
422,34,"441
"
423,25,"441
"
424,31,"441
"
425,26,"441
"
426,31,"441
"
427,30,"441
"
428,32,"441
"
429,31,"441
"
430,30,"441
"
431,23,"441
"
432,24,"441
"
433,37,"441
"
434,33,"441
"
435,31,"441
"
436,33,"441
"
437,34,"441
"
438,33,"441
"
439,30,"441
"
440,29,"441
"
441,31,"441
"
442,28,"441
"
443,30,"442
"
444,29,"442
"
445,28,"442
"
446,33,"442
"
447,33,"442
"
448,29,"442
"
449,33,"442
"
450,32,"442
"
451,29,"442
"
452,24,"442
"
453,26,"442
"
454,31,"442
"
455,33,"442
"
456,27,"442
"
457,29,"442
"
458,30,"442
"
459,25,"442
"
460,35,"442
"
461,31,"442
"
462,24,"442
"
463,36,"442
"
464,29,"442
"
465,30,"442
"
466,23,"442
"
467,30,"442
"
468,33,"442
"
469,34,"442
"
470,23,"442
"
471,34,"442
"
472,28,"442
"
473,25,"442
"
474,35,"442
"
475,37,"442
"
476,27,"442
"
477,36,"443
"
478,28,"443
"
479,32,"443
"
480,35,"443
"
481,31,"443
"
482,29,"443
"
483,32,"443
"
484,31,"443
"
485,34,"443
"
486,27,"443
"
487,31,"443
"
488,34,"443
"
489,29,"443
"
490,32,"443
"
491,29,"443
"
492,27,"443
"
493,31,"443
"
494,34,"443
"
495,35,"443
"
496,32,"443
"
497,30,"443
"
498,35,"443
"
499,24,"443
"
500,34,"443
"
501,34,"443
"
502,29,"443
"
503,30,"443
"
504,28,"443
"
505,35,"443
"
506,28,"443
"
507,32,"443
"
508,31,"443
"
509,27,"444
"
510,31,"444
"
511,33,"444
"
512,29,"444
"
513,33,"444
"
514,1623,"445
"
515,31,"445
"
516,24,"445
"
517,23,"445
"
518,35,"445
"
519,27,"445
"
520,876,"446
"
521,26,"446
"
522,30,"446
"
523,32,"446
"
524,32,"446
"
525,999,"447
"
526,28,"447
"
527,33,"447
"
528,35,"448
"
529,34,"448
"
530,32,"448
"
531,21,"448
"
532,772,"448
"
533,31,"448
"
534,33,"448
"
535,31,"448
"
536,27,"448
"
537,28,"449
"
538,606,"449
"
539,29,"449
"
540,38,"449
"
541,29,"449
"
542,30,"449
"
543,26,"449
"
544,31,"449
"
545,635,"450
"
546,31,"450
"
547,34,"450
"
548,34,"450
"
549,27,"450
"
550,271,"450
"
551,24,"450
"
552,26,"450
"
553,328,"451
"
554,30,"451
"
555,34,"451
"
556,25,"451
"
557,209,"451
"
558,31,"451
"
559,27,"451
"
560,24,"451
"
561,28,"451
"
562,170,"451
"
563,31,"451
"
564,37,"451
"
565,30,"451
"
566,38,"451
"
567,167,"452
"
568,24,"452
"
569,37,"452
"
570,29,"452
"
571,30,"452
"
572,34,"452
"
573,37,"452
"
574,30,"452
"
575,33,"452
"
576,34,"452
"
577,27,"452
"
578,36,"452
"
579,37,"452
"
580,32,"452
"
581,31,"452
"
582,33,"452
"
583,33,"452
"
584,30,"452
"
585,31,"452
"
586,25,"452
"
587,27,"452
"
588,35,"452
"
589,26,"452
"
583,6000,"458
"
584,35,"458
"
585,422,"459
"
586,30,"459
"
587,39,"459
"
587,27,"459
"
587,36,"459
"
587,34,"459
"
587,29,"459
"
586,38,"459
"
587,33,"459
"
588,31,"459
"
589,31,"459
"
590,30,"459
"
591,34,"459
"
592,35,"459
"
593,24,"459
"
594,24,"459
"
595,33,"459
"
596,28,"459
"
597,31,"459
"
598,30,"459
"
599,36,"459
"
600,23,"459
"
601,35,"459
"
602,30,"459
"
603,24,"459
"
604,31,"460
"
605,36,"460
"
606,30,"460
"
607,27,"460
"
608,26,"460
"
609,32,"460
"
610,30,"460
"
611,35,"460
"
612,32,"460
"
613,28,"460
"
614,35,"460
"
615,27,"460
"
616,27,"460
"
617,25,"460
"
616,36,"460
"
616,40,"460
"
616,26,"460
"
616,29,"460
"
616,37,"460
"
615,35,"460
"
615,38,"460
"
615,25,"460
"
615,31,"460
"
615,30,"460
"
614,36,"460
"
614,29,"460
"
614,33,"460
"
614,29,"460
"
614,28,"460
"
614,32,"460
"
613,32,"460
"
613,30,"460
"
612,35,"461
"
612,34,"461
"
612,36,"461
"
612,25,"461
"
612,32,"461
"
612,35,"461
"
611,38,"461
"
611,30,"461
"
611,33,"461
"
611,39,"461
"
610,38,"461
"
610,33,"461
"
610,36,"461
"
610,35,"461
"
610,33,"461
"
609,35,"461
"
609,34,"461
"
609,26,"461
"
609,38,"461
"
609,34,"461
"
609,35,"461
"
609,27,"461
"
609,33,"461
"
609,31,"461
"
609,36,"461
"
608,39,"461
"
608,36,"461
"
608,38,"461
"
608,33,"461
"
608,39,"462
"
607,34,"462
"
607,39,"462
"
607,37,"462
"
607,27,"462
"
607,30,"462
"
607,39,"462
"
607,32,"462
"
607,35,"462
"
607,31,"462
"
606,35,"462
"
606,38,"462
"
606,34,"462
"
606,35,"462
"
606,29,"462
"
606,32,"462
"
606,31,"462
"
605,37,"462
"
605,39,"462
"
605,26,"462
"
605,32,"462
"
605,35,"462
"
604,36,"462
"
604,40,"462
"
604,33,"462
"
604,33,"462
"
603,36,"462
"
603,38,"462
"
603,32,"462
"
602,36,"463
"
602,36,"463
"
602,32,"463
"
602,36,"463
"
602,35,"463
"
601,32,"463
"
601,36,"463
"
601,36,"463
"
601,31,"463
"
601,30,"463
"
601,35,"463
"
601,33,"463
"
601,31,"463
"
601,33,"463
"
